"nid","path","title","date","end_date","picture","body","speaker"
"4067","/foredrag/lejrbaalsteorien","Lejrbålsteorien","01/05/2018 - 19:00","01/05/2018 - 20:30","sites/vih.local/files/lectures/gatetocreate2.jpg","Mikkel Salling Holmgaard gæster Vejle Idrætshøjskole med en unik fortælling. I en tidlig alder blev hans liv ændret drastisk, da han i et forsøg på at redde et andet menneske kom så alvorligt til skade, at landets eksperter spåede ham en fremtid som handicappet. Først kæmpede han sig tilbage til elitesport trods hans handicap, hvorefter han takkede pænt nej til tilbuddene og startede dét, som selvsame eksperter i dag betegner som ""en af landets største succeshistorier inden for genoptræning"".  Han fortæller om at vende tilbage til 'virkeligheden' efter så alvorlig en skade og om at kæmpe sig gennem sin uddannelse og opstart af virksomhed, efterladt i hård fattigdom. Og ikke mindst om, hvordan man kan have det hamrende sjovt gennem hele forløbet.  I dag er han leder og ejer af virksomheden The Back To Life Project, som hver eneste dag flytter grænserne for, hvad vi antager er muligt indenfor genotræning. ","Mikkel Salling Holmgaard"
"4066","/foredrag/maalsaetning-og-praestation-3","Målsætning og Præstation","23/01/2018 - 19:00","23/01/2018 - 20:30","sites/vih.local/files/lectures/ole.jpg","Foredraget handler om at udleve drømme sammen med andre, med det enkelte individ i centrum. Det kræver både samarbejde, retning og evnen til at være god på det rigitge tidspunkt. Ord og intentioner flytter intet - det gør handlinger.Forstander på Vejle Idrætshøjskole, Ole Damgaard, deler ud af sine erfaringer, bl.a. fra højeste niveau i håndboldligaen.","Ole Damgaard"
"4065","/foredrag/sportsjournalistik","Sportsjournalistik","13/02/2018 - 19:00","13/02/2018 - 20:30","sites/vih.local/files/lectures/dan_0.jpg","Håndboldredaktør TV 2Tidligere skrivende sportsjournalist fra 2003 til 2015 på Jyllands-Posten med håndbold, fodbold og motorsport som stofområder.Har dækket 30 håndboldslutrunder, 3 OL, fodboldlandskampe, Le Mans og Champions League.Årets Sportsjournalist i 2010Modtog Werther Prisen i 2014Har skrevet seks sportsbøger – senest ”Videre” i maj 2017 – Tom Kristensens biografi","Dan Philipsen"
"4057","/foredrag/dit-liv-de-svaere-valg"," DIT LIV & DE SVÆRE VALG","06/02/2018 - 19:00","06/02/2018 - 20:30","sites/vih.local/files/lectures/rasmuss.jpg","Hvilken vej skal jeg gå? Det spørgsmål er et af de mest centrale i ethvert menneskes liv. Lysten til at vælge rigtigt er der, men de mange muligheder gør det svært at beslutte sig. Foredraget er en levende peptalk om de mange vigtige valg, mennesker i dag står over for – ikke kun på vejen mod en karriere, men også i de mange udfordrende situationer livet ellers byder på. Pointerne leveres med humoristiske fortællinger, samt en motiverende kombination af billeder og øvelser, der involverer deltagerne. Rasmus Schiellerup har turneret landet rundt igennem de sidste seks år og holdt mere end 400 foredrag.","Rasmus Schiellerup"
"4056","/foredrag/hjernen-og-intelligensen","Hjernen og intelligensen","10/04/2018 - 19:00","10/04/2018 - 20:30","sites/vih.local/files/lectures/plm-14-dsat-fp_-_kopi_002peter_l_m.jpg","Peter Lund Madsen tager os med på et kig ind i den menneskelige hjerne. Du lærer mere om, hvordan hjernen fungerer gennem finurlige spørgsmål såom:- Hvor kommer hjernen fra?- Hvad sker der i hovedet på en fasan?- Har kaninen kontrol over tingene?- Hvad er vigtigst, Følelser eller Intelligens?- Hvad adskiller os mennesker fra de andre dyr?- Hvor kommer vi mennesker fra?- Har vi noget at være stolte af?- Hvad er en ægte 24'er?Hjernen og Intelligensen- Hvad er intelligens - og er der 7 af dem? - Intelligens og talent - hvad er medfødt og hvad er tillært? - Bliver vi klogere eller dummere med alderen? - Om Humor, intuition og evnen til at lukke døren stille bag sigPeter Lund Madsen er dansk læge, hjerneforsker, forfatter og entertainer. Han er især kendt for optrædender sammen med sin bror, Anders Lund Madsen, samt sin naturvidenskabelige formidling om hjernen i forskellige radio- og tv-programmer. Vi glæder os til at opleve ham på Vejle Idrætshøjskole.","Peter Lund Madsen"
"4050","/foredrag/paa-dybt-vand","På dybt vand","20/03/2018 - 19:00","20/03/2018 - 20:30","sites/vih.local/files/lectures/stig_pryds.jpg","Det var en invaliderende lidelse og særdeles negativefremtidsudsigter, der fik Stig Pryds til at tænke anderledes ogkræve sit liv og helbred tilbage. Det skulle vise sig at give nogleresultater, han aldrig havde drømt om.På bare to år ændrede han sin livssituation fra invalid gigtpatient tileminent fridykker-atlet med placering som nr. 2 på verdensplan.Det blev en lærerig rejse, der fik ham i balance med sin krop, somaldrig før, og åbnede både øjne og bevidsthed for, hvad der ermuligt, hvis man oprigtigt vil det, og samtidig giver sin krop derette redskaber.Stig fortæller åbent og ærligt om rejsen fra selvstændigterhvervsdrivende til gigtplaget invalid til fridykker på eliteplan.Han fortæller om at kvitte medicinen og træne og spise sig til topsmed det rette mindset.Oplev et foredrag der både kan motivere og inspirere dig til attænke anderledes og handle på de positive muligheder, vi alle har ivores liv – hvis vi tør, og er villige til at åbne op og bruge demrigtigt.!!!","Stig Pryds"
"4049","/foredrag/vejle-idraetshoejskoles-historie-0","Vejle Idrætshøjskoles historie","06/03/2018 - 19:00","06/03/2018 - 20:30","sites/vih.local/files/lectures/lars.jpg","I anledning af skolens 75 års jubilæum kan du komme med på en rejse gennem Vejle Idrætshøjskoles historie. Du kommer til at høre små beretninger fra nuværende og tidligere personligheder på højskolen, se billeder fra skolens historie, overvære interviews, opleve korte film og synge de historiske sange. Det bliver historiske oplivende, opløftende og oplysende. ","Lars Olesen"
"4044","/foredrag/praestationsangst-1","Præstationsangst","24/04/2018 - 19:00","24/04/2018 - 20:30","sites/vih.local/files/lectures/mo.jpg","”Jeg har altid haft den indre tro, at når det virkelig gælder, så vil jeg tabe”En personlig fortælling om at leve med præstationsangst. ","Martin Olsen"
"4043","/foredrag/akustisk-guitarkoncert-0","Akustisk guitarkoncert","12/06/2018 - 19:00","12/06/2018 - 20:30","sites/vih.local/files/lectures/jakob.jpg","Koncert med guitar og sang hvor der tages udgangspunkt i diverse numre af kunstnere, der oftest har brugt guitaren som instrument til at skrive sange. Så en klassisk singer/songwriter koncert med bl.a. John Mayer, Dave Matthews, Teitur, Gavin DeGraw mfl...","Jakob Sikjær"
"4042","/foredrag/paa-tvaers-af-indlandsisen-1","På tværs af Indlandsisen","16/01/2018 - 19:00","16/01/2018 - 20:30","sites/vih.local/files/lectures/tsh.jpg","Efter To års forberedelser med meget træning og minutiøst planlægning bliver turen over Indlandsisen til virkelighed. Thea fortæller om rejsen ud i det hvide intet. Rejsen ud i kulden mellem sne og is formationer og temperaturer under minus 35 C, hvor de fysiske strabadser, med tung oppakning og kuperet terræn tærer på kræfterne. Fortællingen har også fokus på naturoplevelsen, stilheden, tiden og roen, der giver rum til refleksion.  Hvad er de psykologiske aspekter og udfordringer, når man er dybt afhængig af teamet? En historie med opture og nedture.","Thea Storm Henriksen"
"4041","/foredrag/kilimanjaro-2","Kilimanjaro","29/05/2018 - 19:00","29/05/2018 - 20:30","sites/vih.local/files/lectures/gejl.png","Fortælling omkring at bestige Kilimanjaro i Tanzania, Det omhandler omkring forberedelserne og vejen op, og følelsen bagefter. Der vil blive vist billeder og film fra turen som foregik i november 2012. Han kommer også ind på den udvikling der har været omkring Kilimanjaro.","Thomas Gejl"
